,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
21,Rank:545,Major:Physical Anthropology,Degree Type:Bachelors,"$52,900","$76,800",51%
22,Rank:548,Major:Organizational Leadership,Degree Type:Bachelors,"$50,500","$76,700",58%
23,Rank:549,Major:Environmental Health Science,Degree Type:Bachelors,"$53,800","$76,600",61%
24,Rank:549,Major:Health Sciences,Degree Type:Bachelors,"$44,600","$76,600",70%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:551,Major:Journalism & Electronic Media,Degree Type:Bachelors,"$45,200","$76,500",48%
1,Rank:552,Major:Religious Studies,Degree Type:Bachelors,"$43,900","$76,300",55%
2,Rank:553,Major:Art History,Degree Type:Bachelors,"$46,600","$76,200",45%
3,Rank:553,Major:Radiologic Science,Degree Type:Bachelors,"$57,600","$76,200",81%
4,Rank:555,Major:3D Animation,Degree Type:Bachelors,"$51,800","$76,000",42%
5,Rank:556,Major:Culture Studies,Degree Type:Bachelors,"$48,100","$75,900",40%
6,Rank:556,Major:Merchandising,Degree Type:Bachelors,"$53,100","$75,900",31%
7,Rank:558,Major:Administrative Management,Degree Type:Bachelors,"$52,700","$75,800",50%
8,Rank:558,Major:Human Resources (HR),Degree Type:Bachelors,"$47,300","$75,800",56%
9,Rank:558,Major:Liberal Arts,Degree Type:Bachelors,"$44,500","$75,800",53%
10,Rank:561,Major:Adult Education & Training,Degree Type:Bachelors,"$48,700","$75,600",79%
11,Rank:561,Major:Fashion Merchandising,Degree Type:Bachelors,"$46,900","$75,600",29%
12,Rank:561,Major:Health & Fitness,Degree Type:Bachelors,"$39,800","$75,600",67%
13,Rank:564,Major:Natural Resources,Degree Type:Bachelors,"$47,400","$75,500",64%
14,Rank:564,Major:Organizational Management,Degree Type:Bachelors,"$48,800","$75,500",57%
15,Rank:566,Major:Modern Languages,Degree Type:Bachelors,"$50,300","$75,400",53%
16,Rank:566,Major:Natural Resource Management,Degree Type:Bachelors,"$46,500","$75,400",60%
17,Rank:566,Major:Retail Management,Degree Type:Bachelors,"$50,100","$75,400",35%
18,Rank:566,Major:Sociology & Anthropology,Degree Type:Bachelors,"$44,500","$75,400",50%
19,Rank:570,Major:Creative Writing,Degree Type:Bachelors,"$45,300","$75,200",41%
20,Rank:571,Major:Criminal Justice Administration,Degree Type:Bachelors,"$45,700","$75,100",56%
21,Rank:572,Major:Ethnic Studies,Degree Type:Bachelors,"$47,500","$74,900",63%
22,Rank:572,Major:Philosophy & Religious Studies,Degree Type:Bachelors,"$49,300","$74,900",61%
23,Rank:572,Major:Radiology,Degree Type:Bachelors,"$54,800","$74,900",80%
24,Rank:575,Major:Medical Laboratory Technology,Degree Type:Bachelors,"$56,900","$74,400",82%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:575,Major:Sports Management,Degree Type:Bachelors,"$45,400","$74,400",43%
1,Rank:577,Major:Anthropology & English,Degree Type:Bachelors,"$48,000","$74,300",-
2,Rank:577,Major:Broadcast Communication,Degree Type:Bachelors,"$40,000","$74,300",44%
3,Rank:577,Major:Criminology,Degree Type:Bachelors,"$44,700","$74,300",54%
4,Rank:577,Major:Earth Science,Degree Type:Bachelors,"$50,000","$74,300",48%
5,Rank:577,Major:Media & Technology,Degree Type:Bachelors,"$45,200","$74,300",43%
6,Rank:577,Major:Visual Communications,Degree Type:Bachelors,"$45,400","$74,300",38%
7,Rank:583,Major:Advertising & Graphic Design,Degree Type:Bachelors,"$46,800","$74,200",37%
8,Rank:583,Major:Applied Behavior Analysis,Degree Type:Bachelors,"$38,700","$74,200",81%
9,Rank:583,Major:Psychology,Degree Type:Bachelors,"$44,700","$74,200",56%
10,Rank:586,Major:Applied Management,Degree Type:Bachelors,"$45,500","$74,100",53%
11,Rank:586,Major:Hotel & Restaurant Management,Degree Type:Bachelors,"$47,300","$74,100",48%
12,Rank:588,Major:Anthropology,Degree Type:Bachelors,"$46,400","$73,900",46%
13,Rank:589,Major:Arts Management,Degree Type:Bachelors,"$39,400","$73,800",48%
14,Rank:589,Major:Diagnostic Medical Imaging,Degree Type:Bachelors,"$60,600","$73,800",73%
15,Rank:591,Major:Communication Arts,Degree Type:Bachelors,"$42,400","$73,600",39%
16,Rank:591,Major:Middle Eastern Studies,Degree Type:Bachelors,"$57,100","$73,600",48%
17,Rank:591,Major:Radiologic Technology,Degree Type:Bachelors,"$55,200","$73,600",83%
18,Rank:591,Major:Painting & Printmaking,Degree Type:Bachelors,"$34,700","$73,600",41%
19,Rank:595,Major:Cardiopulmonary Science,Degree Type:Bachelors,"$48,900","$73,400",90%
20,Rank:595,Major:Human Relations,Degree Type:Bachelors,"$45,000","$73,400",63%
21,Rank:597,Major:Humanities,Degree Type:Bachelors,"$48,500","$73,200",49%
22,Rank:598,Major:Health Care Administration,Degree Type:Bachelors,"$45,800","$73,100",69%
23,Rank:599,Major:Health Care Management,Degree Type:Bachelors,"$46,700","$73,000",72%
24,Rank:599,Major:Life Sciences,Degree Type:Bachelors,"$53,100","$73,000",64%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:601,Major:Ecology,Degree Type:Bachelors,"$46,400","$72,900",57%
1,Rank:601,Major:Media Arts,Degree Type:Bachelors,"$46,500","$72,900",34%
2,Rank:603,Major:Respiratory Care,Degree Type:Bachelors,"$54,800","$72,800",84%
3,Rank:604,Major:Art & Design,Degree Type:Bachelors,"$45,100","$72,700",38%
4,Rank:604,Major:Health Information Management,Degree Type:Bachelors,"$49,000","$72,700",69%
5,Rank:604,Major:Hospitality Management,Degree Type:Bachelors,"$46,400","$72,700",43%
6,Rank:607,Major:Health Teacher Education,Degree Type:Bachelors,"$37,900","$72,600",46%
7,Rank:607,Major:Sports Medicine,Degree Type:Bachelors,"$50,100","$72,600",77%
8,Rank:607,Major:Multimedia & Web Design,Degree Type:Bachelors,"$50,200","$72,600",34%
9,Rank:610,Major:Sociology,Degree Type:Bachelors,"$46,200","$72,500",55%
10,Rank:611,Major:Liberal Studies,Degree Type:Bachelors,"$44,300","$72,400",56%
11,Rank:612,Major:Interior Design,Degree Type:Bachelors,"$45,100","$72,300",50%
12,Rank:612,Major:Medical Laboratory Science,Degree Type:Bachelors,"$55,600","$72,300",85%
13,Rank:612,Major:Secondary Education,Degree Type:Bachelors,"$44,600","$72,300",59%
14,Rank:615,Major:Child Psychology,Degree Type:Bachelors,"$38,900","$72,200",64%
15,Rank:615,Major:Exercise Physiology,Degree Type:Bachelors,"$44,100","$72,200",76%
16,Rank:615,Major:Radiography,Degree Type:Bachelors,"$55,300","$72,200",85%
17,Rank:618,Major:Archaeology,Degree Type:Bachelors,"$45,900","$72,100",46%
18,Rank:618,Major:Art Administration,Degree Type:Bachelors,"$40,200","$72,100",56%
19,Rank:618,Major:Hotel & Restaurant Tourism,Degree Type:Bachelors,"$44,300","$72,100",49%
20,Rank:618,Major:Illustration,Degree Type:Bachelors,"$45,200","$72,100",36%
21,Rank:622,Major:Arts & Science,Degree Type:Bachelors,"$45,700","$71,900",-
22,Rank:622,Major:Health,Degree Type:Bachelors,"$44,200","$71,900",73%
23,Rank:622,Major:Turfgrass Management,Degree Type:Bachelors,"$53,100","$71,900",51%
24,Rank:625,Major:Animal Science & Management,Degree Type:Bachelors,"$44,200","$71,800",55%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:626,Major:SocialStudies,Degree Type:Bachelors,"$45,800","$71,700",57%
1,Rank:627,Major:Human Resources Development,Degree Type:Bachelors,"$48,600","$71,600",50%
2,Rank:627,Major:Speech Pathology & Audiology,Degree Type:Bachelors,"$44,100","$71,600",78%
3,Rank:629,Major:Clinical Laboratory Science,Degree Type:Bachelors,"$55,100","$71,500",83%
4,Rank:629,Major:Forensic Science,Degree Type:Bachelors,"$46,000","$71,500",64%
5,Rank:629,Major:Health Administration,Degree Type:Bachelors,"$42,700","$71,500",66%
6,Rank:632,Major:Geomatics,Degree Type:Bachelors,"$52,300","$71,400",70%
7,Rank:632,Major:Media Communication,Degree Type:Bachelors,"$47,000","$71,400",45%
8,Rank:634,Major:Health Management,Degree Type:Bachelors,"$45,100","$71,300",-
9,Rank:634,Major:Commercial Photography,Degree Type:Bachelors,"$43,800","$71,300",23%
10,Rank:636,Major:Fashion Design & Marketing,Degree Type:Bachelors,"$45,300","$71,100",44%
11,Rank:636,Major:Mass Media,Degree Type:Bachelors,"$40,300","$71,100",49%
12,Rank:638,Major:Medical Technology,Degree Type:Bachelors,"$56,500","$71,000",81%
13,Rank:639,Major:Respiratory Therapy,Degree Type:Bachelors,"$54,500","$70,900",82%
14,Rank:640,Major:Theater,Degree Type:Bachelors,"$44,600","$70,700",50%
15,Rank:641,Major:Forensic Psychology,Degree Type:Bachelors,"$43,000","$70,600",54%
16,Rank:641,Major:Kinesiology,Degree Type:Bachelors,"$44,800","$70,600",66%
17,Rank:643,Major:Performing Arts,Degree Type:Bachelors,"$45,700","$70,500",57%
18,Rank:643,Major:Psychology & Social Behavior,Degree Type:Bachelors,"$45,800","$70,500",59%
19,Rank:643,Major:Religion,Degree Type:Bachelors,"$44,400","$70,500",59%
20,Rank:643,Major:Radio & Television,Degree Type:Bachelors,"$43,100","$70,500",41%
21,Rank:647,Major:Technology Teacher Education,Degree Type:Bachelors,"$47,700","$70,400",57%
22,Rank:648,Major:Educational Studies (ED),Degree Type:Bachelors,"$40,300","$70,200",65%
23,Rank:648,Major:Music,Degree Type:Bachelors,"$44,300","$70,200",55%
24,Rank:648,Major:Business Leadership,Degree Type:Bachelors,"$50,100","$70,200",45%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:651,Major:Drafting & Design,Degree Type:Bachelors,"$51,000","$70,100",69%
1,Rank:651,Major:Plant Sciences,Degree Type:Bachelors,"$48,000","$70,100",60%
2,Rank:653,Major:Criminal Justice,Degree Type:Bachelors,"$42,800","$69,800",56%
3,Rank:653,Major:Web Design,Degree Type:Bachelors,"$49,900","$69,800",25%
4,Rank:655,Major:Graphic Design,Degree Type:Bachelors,"$45,100","$69,700",37%
5,Rank:656,Major:Nutrition,Degree Type:Bachelors,"$48,100","$69,600",65%
6,Rank:656,Major:Nutrition & Dietetics,Degree Type:Bachelors,"$50,800","$69,600",72%
7,Rank:658,Major:Missions,Degree Type:Bachelors,"$41,300","$69,500",-
8,Rank:659,Major:Dramatic Art,Degree Type:Bachelors,"$41,400","$69,400",-
9,Rank:660,Major:Fashion Marketing & Management,Degree Type:Bachelors,"$47,700","$69,100",30%
10,Rank:661,Major:Interdisciplinary Studies (IS),Degree Type:Bachelors,"$44,600","$68,900",56%
11,Rank:662,Major:Hospitality & Tourism,Degree Type:Bachelors,"$44,200","$68,800",41%
12,Rank:662,Major:Human Ecology,Degree Type:Bachelors,"$42,100","$68,800",54%
13,Rank:662,Major:Ornamental Horticulture,Degree Type:Bachelors,"$46,000","$68,800",69%
14,Rank:662,Major:Physical Therapist Assistant Studies,Degree Type:Bachelors,"$49,900","$68,800",85%
15,Rank:662,Major:Public Health (PH),Degree Type:Bachelors,"$46,000","$68,800",69%
16,Rank:667,Major:Art Therapy,Degree Type:Bachelors,"$41,100","$68,600",80%
17,Rank:667,Major:Dietetics,Degree Type:Bachelors,"$51,300","$68,600",74%
18,Rank:667,Major:Landscape Management,Degree Type:Bachelors,"$52,300","$68,600",-
19,Rank:670,Major:Applied Sociology,Degree Type:Bachelors,"$42,200","$68,500",57%
20,Rank:670,Major:Fine Arts,Degree Type:Bachelors,"$43,200","$68,500",44%
21,Rank:670,Major:Modern Language Spanish,Degree Type:Bachelors,"$43,800","$68,500",52%
22,Rank:670,Major:Women's Studies,Degree Type:Bachelors,"$45,200","$68,500",59%
23,Rank:670,Major:Social & Criminal Justice,Degree Type:Bachelors,"$44,800","$68,500",59%
24,Rank:675,Major:Animal Science,Degree Type:Bachelors,"$41,200","$68,300",64%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:675,Major:New Media,Degree Type:Bachelors,"$46,000","$68,300",33%
1,Rank:675,Major:Textiles & Clothing,Degree Type:Bachelors,"$45,100","$68,300",47%
2,Rank:678,Major:Event Management,Degree Type:Bachelors,"$41,700","$68,200",40%
3,Rank:679,Major:Family & Consumer Science,Degree Type:Bachelors,"$42,600","$68,000",59%
4,Rank:680,Major:Speech-Language Pathology,Degree Type:Bachelors,"$44,100","$67,900",70%
5,Rank:681,Major:Technical Theatre,Degree Type:Bachelors,"$41,000","$67,600",42%
6,Rank:682,Major:Education,Degree Type:Bachelors,"$44,100","$67,500",65%
7,Rank:682,Major:Foods & Nutrition,Degree Type:Bachelors,"$47,000","$67,500",68%
8,Rank:682,Major:Recreation Management,Degree Type:Bachelors,"$42,300","$67,500",58%
9,Rank:685,Major:Business & Healthcare Management,Degree Type:Bachelors,"$46,900","$67,300",69%
10,Rank:686,Major:Agricultural Teacher Education,Degree Type:Bachelors,"$53,500","$67,100",-
11,Rank:687,Major:Music Composition,Degree Type:Bachelors,"$44,000","$66,900",51%
12,Rank:688,Major:Art,Degree Type:Bachelors,"$43,400","$66,700",46%
13,Rank:688,Major:Psychology & Sociology,Degree Type:Bachelors,"$42,800","$66,700",53%
14,Rank:690,Major:Drawing & Painting,Degree Type:Bachelors,"$42,800","$66,600",48%
15,Rank:691,Major:Nonprofit Management,Degree Type:Bachelors,"$42,300","$66,300",79%
16,Rank:692,Major:Small Business Management,Degree Type:Bachelors,"$47,100","$66,200",38%
17,Rank:693,Major:Behavioral Science,Degree Type:Bachelors,"$43,000","$66,000",62%
18,Rank:694,Major:Horticulture & Agronomy,Degree Type:Bachelors,"$52,500","$65,900",-
19,Rank:695,Major:Health Services Administration,Degree Type:Bachelors,"$42,700","$65,800",63%
20,Rank:695,Major:Multidisciplinary Studies,Degree Type:Bachelors,"$41,800","$65,800",53%
21,Rank:695,Major:Restaurant & Food Service Management,Degree Type:Bachelors,"$43,900","$65,800",45%
22,Rank:698,Major:Consumer Affairs,Degree Type:Bachelors,"$51,000","$65,700",43%
23,Rank:699,Major:Training and Development,Degree Type:Bachelors,"$52,600","$65,600",-
24,Rank:699,Major:Health & Exercise Science,Degree Type:Bachelors,"$41,700","$65,600",67%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:699,Major:Electronic Media,Degree Type:Bachelors,"$45,300","$65,600",37%
1,Rank:702,Major:Environmental Resource Management,Degree Type:Bachelors,"$48,700","$65,500",65%
2,Rank:703,Major:Theatre Arts,Degree Type:Bachelors,"$43,500","$65,300",51%
3,Rank:704,Major:Applied Linguistics,Degree Type:Bachelors,"$46,800","$65,200",44%
4,Rank:705,Major:African American & African Studies,Degree Type:Bachelors,"$46,400","$65,100",60%
5,Rank:705,Major:Exercise & Sports Science,Degree Type:Bachelors,"$42,600","$65,100",70%
6,Rank:705,Major:General Studies,Degree Type:Bachelors,"$43,600","$65,100",52%
7,Rank:705,Major:Justice Studies,Degree Type:Bachelors,"$45,300","$65,100",50%
8,Rank:705,Major:Video Production,Degree Type:Bachelors,"$42,800","$65,100",33%
9,Rank:710,Major:Graphic Arts,Degree Type:Bachelors,"$42,700","$64,900",41%
10,Rank:710,Major:Physical Education Teaching,Degree Type:Bachelors,"$42,200","$64,900",69%
11,Rank:712,Major:Health Services Management,Degree Type:Bachelors,"$41,600","$64,800",83%
12,Rank:712,Major:Physical Education & Exercise Science,Degree Type:Bachelors,"$44,100","$64,800",72%
13,Rank:712,Major:Drawing,Degree Type:Bachelors,"$37,400","$64,800",39%
14,Rank:715,Major:Exercise Science,Degree Type:Bachelors,"$41,400","$64,700",73%
15,Rank:716,Major:Printmaking,Degree Type:Bachelors,"$38,400","$64,300",40%
16,Rank:716,Major:Sports Administration,Degree Type:Bachelors,"$43,300","$64,300",47%
17,Rank:716,Major:Theology,Degree Type:Bachelors,"$42,800","$64,300",68%
18,Rank:719,Major:Interior Design & Merchandising,Degree Type:Bachelors,"$43,700","$64,200",37%
19,Rank:719,Major:Recreation & Leisure Studies,Degree Type:Bachelors,"$40,300","$64,200",60%
20,Rank:721,Major:Human Development,Degree Type:Bachelors,"$43,700","$64,100",64%
21,Rank:721,Major:Music Industry,Degree Type:Bachelors,"$45,800","$64,100",38%
22,Rank:721,Major:Wildlife Management,Degree Type:Bachelors,"$39,700","$64,100",49%
23,Rank:721,Major:Supervision & Management,Degree Type:Bachelors,"$41,700","$64,100",57%
24,Rank:725,Major:Health & Wellness,Degree Type:Bachelors,"$40,100","$64,000",70%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:725,Major:Culinary Arts & Food Service Management,Degree Type:Bachelors,"$41,300","$64,000",50%
1,Rank:725,Major:Mortuary Science,Degree Type:Bachelors,"$43,500","$64,000",85%
2,Rank:728,Major:Clinical Psychology,Degree Type:Bachelors,"$43,000","$63,900",65%
3,Rank:728,Major:Community Health Education,Degree Type:Bachelors,"$42,600","$63,900",75%
4,Rank:728,Major:Dance,Degree Type:Bachelors,"$45,100","$63,900",62%
5,Rank:731,Major:Speech Pathology,Degree Type:Bachelors,"$42,800","$63,700",69%
6,Rank:732,Major:Gender Studies,Degree Type:Bachelors,"$45,500","$63,600",55%
7,Rank:732,Major:Secondary English Teacher Education,Degree Type:Bachelors,"$42,000","$63,600",64%
8,Rank:734,Major:Photography,Degree Type:Bachelors,"$43,800","$63,500",38%
9,Rank:735,Major:English Teacher Education,Degree Type:Bachelors,"$43,300","$63,100",57%
10,Rank:735,Major:Paralegal Studies,Degree Type:Bachelors,"$39,600","$63,100",50%
11,Rank:735,Major:Social Studies Teacher Education,Degree Type:Bachelors,"$43,400","$63,100",65%
12,Rank:738,Major:Teaching English as a Second Language (ESL),Degree Type:Bachelors,"$42,800","$63,000",73%
13,Rank:738,Major:Music Teacher Education,Degree Type:Bachelors,"$42,000","$63,000",62%
14,Rank:740,Major:Health Promotion,Degree Type:Bachelors,"$42,300","$62,800",69%
15,Rank:740,Major:Recording Arts,Degree Type:Bachelors,"$44,800","$62,800",48%
16,Rank:742,Major:Photojournalism,Degree Type:Bachelors,"$41,900","$62,600",59%
17,Rank:743,Major:Recreation Administration,Degree Type:Bachelors,"$47,000","$62,500",71%
18,Rank:744,Major:Radio Broadcasting,Degree Type:Bachelors,"$46,300","$62,400",33%
19,Rank:745,Major:Sculpture,Degree Type:Bachelors,"$40,300","$62,200",47%
20,Rank:746,Major:Painting,Degree Type:Bachelors,"$40,700","$62,000",44%
21,Rank:746,Major:Psychology & Social Sciences,Degree Type:Bachelors,"$42,600","$62,000",68%
22,Rank:748,Major:Health & Physical Education Teaching,Degree Type:Bachelors,"$38,700","$61,900",65%
23,Rank:749,Major:Organizational Administration,Degree Type:Bachelors,"$45,000","$61,800",-
24,Rank:750,Major:Tourism Management,Degree Type:Bachelors,"$43,100","$61,600",38%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:750,Major:Instrumental Music Teacher Education,Degree Type:Bachelors,"$41,700","$61,600",65%
1,Rank:752,Major:Emergency Medical Services (EMS),Degree Type:Bachelors,"$44,200","$61,400",-
2,Rank:753,Major:Community Health,Degree Type:Bachelors,"$45,400","$61,300",72%
3,Rank:754,Major:Health & Human Performance,Degree Type:Bachelors,"$38,100","$61,100",68%
4,Rank:755,Major:Music Therapy,Degree Type:Bachelors,"$43,100","$60,700",93%
5,Rank:756,Major:Social Services,Degree Type:Bachelors,"$39,900","$60,500",82%
6,Rank:757,Major:Rehabilitation Services,Degree Type:Bachelors,"$35,800","$60,200",79%
7,Rank:758,Major:Horticulture,Degree Type:Bachelors,"$43,000","$60,100",59%
8,Rank:759,Major:University Studies,Degree Type:Bachelors,"$42,400","$60,000",49%
9,Rank:760,Major:Church Ministries,Degree Type:Bachelors,"$40,000","$59,900",79%
10,Rank:761,Major:Communicative Disorders,Degree Type:Bachelors,"$47,400","$59,800",73%
11,Rank:761,Major:Social Science Teacher Education,Degree Type:Bachelors,"$45,400","$59,800",-
12,Rank:761,Major:Wildlife Biology,Degree Type:Bachelors,"$42,900","$59,800",60%
13,Rank:764,Major:Community Development,Degree Type:Bachelors,"$44,600","$59,400",63%
14,Rank:764,Major:Psychology & Human Services,Degree Type:Bachelors,"$35,600","$59,400",-
15,Rank:766,Major:Athletic Training,Degree Type:Bachelors,"$42,100","$59,300",75%
16,Rank:767,Major:Biblical Studies,Degree Type:Bachelors,"$40,500","$59,000",72%
17,Rank:768,Major:Biblical Studies & Practical Ministries,Degree Type:Bachelors,"$36,400","$58,900",76%
18,Rank:768,Major:Counseling Psychology,Degree Type:Bachelors,"$42,700","$58,900",64%
19,Rank:768,Major:Recreational Studies,Degree Type:Bachelors,"$42,100","$58,900",69%
20,Rank:768,Major:Teaching,Degree Type:Bachelors,"$42,000","$58,900",72%
21,Rank:772,Major:Home Economics,Degree Type:Bachelors,"$41,800","$58,700",69%
22,Rank:772,Major:Library & Information Science,Degree Type:Bachelors,"$48,200","$58,700",48%
23,Rank:774,Major:Human Development & Family Studies,Degree Type:Bachelors,"$40,300","$58,600",66%
24,Rank:774,Major:Tourism & Travel,Degree Type:Bachelors,"$42,200","$58,600",43%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:776,Major:Landscape Design,Degree Type:Bachelors,"$49,000","$58,500",63%
1,Rank:777,Major:Ceramics,Degree Type:Bachelors,"$42,200","$58,300",51%
2,Rank:777,Major:Clinical Social Work (CSW),Degree Type:Bachelors,"$43,500","$58,300",-
3,Rank:777,Major:Parks & Recreation Management,Degree Type:Bachelors,"$42,700","$58,300",56%
4,Rank:780,Major:Pastoral Ministry,Degree Type:Bachelors,"$38,700","$58,000",83%
5,Rank:780,Major:Vocal Performance,Degree Type:Bachelors,"$42,600","$58,000",65%
6,Rank:782,Major:Art Teacher Education,Degree Type:Bachelors,"$40,300","$57,500",62%
7,Rank:782,Major:Bible Studies & Theology,Degree Type:Bachelors,"$40,000","$57,500",67%
8,Rank:784,Major:Forensic Accounting,Degree Type:Bachelors,"$48,300","$57,200",48%
9,Rank:785,Major:Communication Sciences & Disorders,Degree Type:Bachelors,"$43,300","$57,100",76%
10,Rank:785,Major:Legal Assistant Studies,Degree Type:Bachelors,"$38,100","$57,100",38%
11,Rank:787,Major:Special Education,Degree Type:Bachelors,"$41,300","$57,000",76%
12,Rank:788,Major:Conservation Biology,Degree Type:Bachelors,"$42,800","$56,900",57%
13,Rank:789,Major:Family Studies,Degree Type:Bachelors,"$39,200","$56,800",68%
14,Rank:790,Major:Christian Ministry,Degree Type:Bachelors,"$38,100","$56,400",79%
15,Rank:790,Major:Speech & Hearing,Degree Type:Bachelors,"$43,300","$56,400",76%
16,Rank:792,Major:Health and Human Services,Degree Type:Bachelors,"$43,500","$56,300",65%
17,Rank:793,Major:Musical Theatre,Degree Type:Bachelors,"$43,500","$56,100",50%
18,Rank:794,Major:History Teacher Education,Degree Type:Bachelors,"$47,700","$55,600",46%
19,Rank:795,Major:Developmental Psychology,Degree Type:Bachelors,"$38,200","$55,000",-
20,Rank:796,Major:Therapeutic Recreation,Degree Type:Bachelors,"$39,500","$54,900",82%
21,Rank:797,Major:Applied Behavioral Science,Degree Type:Bachelors,"$40,500","$54,600",50%
22,Rank:797,Major:Community & Human Services,Degree Type:Bachelors,"$42,400","$54,600",80%
23,Rank:797,Major:Social Work (SW),Degree Type:Bachelors,"$38,600","$54,600",76%
24,Rank:800,Major:Office Administration,Degree Type:Bachelors,"$38,700","$54,500",65%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:801,Major:Ministry,Degree Type:Bachelors,"$36,700","$54,300",81%
1,Rank:801,Major:Family & Community Services,Degree Type:Bachelors,"$42,200","$54,300",74%
2,Rank:803,Major:Youth Ministry,Degree Type:Bachelors,"$37,400","$54,200",76%
3,Rank:804,Major:Elementary Education,Degree Type:Bachelors,"$40,000","$53,800",69%
4,Rank:805,Major:Voice & Opera,Degree Type:Bachelors,"$34,500","$53,300",57%
5,Rank:806,Major:Christian Education,Degree Type:Bachelors,"$38,700","$53,200",82%
6,Rank:806,Major:Conflict Resolution,Degree Type:Bachelors,"$44,400","$53,200",50%
7,Rank:808,Major:Baking & Pastry Arts,Degree Type:Bachelors,"$37,500","$53,000",44%
8,Rank:808,Major:Human Services Management,Degree Type:Bachelors,"$45,600","$53,000",-
9,Rank:810,Major:Hospitality & The Culinary Arts,Degree Type:Bachelors,"$38,800","$52,900",-
10,Rank:811,Major:Human Services (HS),Degree Type:Bachelors,"$38,700","$52,500",71%
11,Rank:812,Major:Counseling,Degree Type:Bachelors,"$39,900","$51,700",78%
12,Rank:813,Major:Recreational Therapy,Degree Type:Bachelors,"$38,400","$51,600",84%
13,Rank:814,Major:Child Development,Degree Type:Bachelors,"$37,400","$51,400",73%
14,Rank:815,Major:Educational Psychology,Degree Type:Bachelors,"$36,900","$51,200",-
15,Rank:816,Major:Middle School Education,Degree Type:Bachelors,"$41,200","$50,800",73%
16,Rank:817,Major:Mental Health Counseling,Degree Type:Bachelors,"$36,100","$50,000",78%
17,Rank:818,Major:Early Childhood & Elementary Education,Degree Type:Bachelors,"$38,000","$48,400",77%
18,Rank:819,Major:Equine Studies,Degree Type:Bachelors,"$35,700","$47,100",50%
19,Rank:820,Major:Addiction Studies,Degree Type:Bachelors,"$38,000","$47,000",84%
20,Rank:821,Major:Child & Family Studies,Degree Type:Bachelors,"$36,400","$46,500",73%
21,Rank:822,Major:Rehabilitation Counseling,Degree Type:Bachelors,"$39,200","$46,400",-
22,Rank:823,Major:Outdoor Education,Degree Type:Bachelors,"$37,400","$46,300",52%
23,Rank:824,Major:Early Childhood Education,Degree Type:Bachelors,"$36,100","$45,400",78%
24,Rank:825,Major:Mental Health,Degree Type:Bachelors,"$36,900","$45,000",-
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:826,Major:Medical Assisting,Degree Type:Bachelors,"$36,000","$44,800",-
1,Rank:827,Major:Metalsmithing,Degree Type:Bachelors,"$40,000","$40,300",33%
